PRODUCTID,PRODUCTNDC,NDCPACKAGECODE,PACKAGEDESCRIPTION
38779-2791_40c35aea-b7ad-4544-9b67-70fe6547516b,38779-2791,38779-2791-8,500 g in 1 JAR (38779-2791-8)
38779-2791_40c35aea-b7ad-4544-9b67-70fe6547516b,38779-2791,38779-2791-9,1000 g in 1 JAR (38779-2791-9)
38779-2792_464c06ce-f46a-0d41-e054-00144ff88e88,38779-2792,38779-2792-3,5 g in 1 VIAL (38779-2792-3)
38779-2792_464c06ce-f46a-0d41-e054-00144ff88e88,38779-2792,38779-2792-4,25 g in 1 VIAL (38779-2792-4)
38779-2792_464c06ce-f46a-0d41-e054-00144ff88e88,38779-2792,38779-2792-6,1 g in 1 VIAL (38779-2792-6)
38779-2793_3c66ee17-67e7-36da-e054-00144ff88e88,38779-2793,38779-2793-5,100 g in 1 JAR (38779-2793-5)
38779-2793_3c66ee17-67e7-36da-e054-00144ff88e88,38779-2793,38779-2793-7,25000 g in 1 DRUM (38779-2793-7)
38779-2793_3c66ee17-67e7-36da-e054-00144ff88e88,38779-2793,38779-2793-8,500 g in 1 JAR (38779-2793-8)
38779-2793_3c66ee17-67e7-36da-e054-00144ff88e88,38779-2793,38779-2793-9,1000 g in 1 JAR (38779-2793-9)
38779-2794_3f0d46d0-51f2-4080-a5c6-1210070783bc,38779-2794,38779-2794-2,50 g in 1 VIAL (38779-2794-2)
38779-2794_3f0d46d0-51f2-4080-a5c6-1210070783bc,38779-2794,38779-2794-4,25 g in 1 VIAL (38779-2794-4)
38779-2794_3f0d46d0-51f2-4080-a5c6-1210070783bc,38779-2794,38779-2794-5,100 g in 1 VIAL (38779-2794-5)
38779-2794_3f0d46d0-51f2-4080-a5c6-1210070783bc,38779-2794,38779-2794-8,500 g in 1 JAR (38779-2794-8)
38779-2794_3f0d46d0-51f2-4080-a5c6-1210070783bc,38779-2794,38779-2794-9,1000 g in 1 JAR (38779-2794-9)
38779-2850_404d63af-667d-43d6-b8f6-7ee8914928b5,38779-2850,38779-2850-4,25 g in 1 JAR (38779-2850-4)
38779-2850_404d63af-667d-43d6-b8f6-7ee8914928b5,38779-2850,38779-2850-5,100 g in 1 JAR (38779-2850-5)
38779-2850_404d63af-667d-43d6-b8f6-7ee8914928b5,38779-2850,38779-2850-8,500 g in 1 JAR (38779-2850-8)
38779-2850_404d63af-667d-43d6-b8f6-7ee8914928b5,38779-2850,38779-2850-9,1000 g in 1 JAR (38779-2850-9)
38779-2857_9e304885-df24-4321-a9a7-cbf9fb416e1c,38779-2857,38779-2857-2,5000 g in 1 PAIL (38779-2857-2)
38779-2857_9e304885-df24-4321-a9a7-cbf9fb416e1c,38779-2857,38779-2857-3,5 g in 1 VIAL (38779-2857-3)
38779-2857_9e304885-df24-4321-a9a7-cbf9fb416e1c,38779-2857,38779-2857-4,25 g in 1 JAR (38779-2857-4)
38779-2857_9e304885-df24-4321-a9a7-cbf9fb416e1c,38779-2857,38779-2857-5,100 g in 1 JAR (38779-2857-5)
38779-2857_9e304885-df24-4321-a9a7-cbf9fb416e1c,38779-2857,38779-2857-6,1 g in 1 VIAL (38779-2857-6)
38779-2857_9e304885-df24-4321-a9a7-cbf9fb416e1c,38779-2857,38779-2857-8,500 g in 1 JAR (38779-2857-8)
38779-2857_9e304885-df24-4321-a9a7-cbf9fb416e1c,38779-2857,38779-2857-9,1000 g in 1 JAR (38779-2857-9)
38779-2880_5f0a9cc3-9654-4929-be83-fa2ddce2415a,38779-2880,38779-2880-2,"15 g in 1 BOTTLE, GLASS (38779-2880-2)"
38779-2885_5a91c03c-973b-4b63-e053-2991aa0a9434,38779-2885,38779-2885-0,.5 g in 1 JAR (38779-2885-0)
38779-2885_5a91c03c-973b-4b63-e053-2991aa0a9434,38779-2885,38779-2885-3,5 g in 1 VIAL (38779-2885-3)
38779-2885_5a91c03c-973b-4b63-e053-2991aa0a9434,38779-2885,38779-2885-6,1 g in 1 VIAL (38779-2885-6)
38779-2885_5a91c03c-973b-4b63-e053-2991aa0a9434,38779-2885,38779-2885-9,.1 g in 1 JAR (38779-2885-9)
38779-2900_4f9553fc-25cf-65b1-e054-00144ff8d46c,38779-2900,38779-2900-4,25 g in 1 JAR (38779-2900-4)
38779-2900_4f9553fc-25cf-65b1-e054-00144ff8d46c,38779-2900,38779-2900-5,100 g in 1 JAR (38779-2900-5)
38779-2900_4f9553fc-25cf-65b1-e054-00144ff8d46c,38779-2900,38779-2900-8,500 g in 1 JAR (38779-2900-8)
38779-2900_4f9553fc-25cf-65b1-e054-00144ff8d46c,38779-2900,38779-2900-9,1000 g in 1 JAR (38779-2900-9)
38779-2934_4b2f4c8b-28bb-2b35-e054-00144ff88e88,38779-2934,38779-2934-1,10 g in 1 JAR (38779-2934-1)
38779-2934_4b2f4c8b-28bb-2b35-e054-00144ff88e88,38779-2934,38779-2934-3,5 g in 1 VIAL (38779-2934-3)
38779-2934_4b2f4c8b-28bb-2b35-e054-00144ff88e88,38779-2934,38779-2934-4,25 g in 1 JAR (38779-2934-4)
38779-2934_4b2f4c8b-28bb-2b35-e054-00144ff88e88,38779-2934,38779-2934-5,100 g in 1 JAR (38779-2934-5)
38779-2934_4b2f4c8b-28bb-2b35-e054-00144ff88e88,38779-2934,38779-2934-8,500 g in 1 JAR (38779-2934-8)
38779-2938_060923d6-fb65-47da-a3fe-ac897638ef6e,38779-2938,38779-2938-3,5000 g in 1 PAIL (38779-2938-3)
38779-2950_4b54098f-ab3d-4aa9-e054-00144ff8d46c,38779-2950,38779-2950-3,5 g in 1 BOTTLE (38779-2950-3)
38779-2950_4b54098f-ab3d-4aa9-e054-00144ff8d46c,38779-2950,38779-2950-4,25 g in 1 JAR (38779-2950-4)
38779-2950_4b54098f-ab3d-4aa9-e054-00144ff8d46c,38779-2950,38779-2950-5,100 g in 1 JAR (38779-2950-5)
38779-2950_4b54098f-ab3d-4aa9-e054-00144ff8d46c,38779-2950,38779-2950-7,2500 g in 1 DRUM (38779-2950-7)
38779-2950_4b54098f-ab3d-4aa9-e054-00144ff8d46c,38779-2950,38779-2950-8,500 g in 1 JAR (38779-2950-8)
38779-2950_4b54098f-ab3d-4aa9-e054-00144ff8d46c,38779-2950,38779-2950-9,1000 g in 1 JAR (38779-2950-9)
38779-3051_5a91a7a4-8497-4464-e053-2991aa0ad429,38779-3051,38779-3051-3,5 g in 1 BOTTLE (38779-3051-3)
38779-3051_5a91a7a4-8497-4464-e053-2991aa0ad429,38779-3051,38779-3051-4,25 g in 1 JAR (38779-3051-4)
38779-3051_5a91a7a4-8497-4464-e053-2991aa0ad429,38779-3051,38779-3051-5,100 g in 1 JAR (38779-3051-5)
38779-3062_5aa66515-b053-3f92-e053-2a91aa0a97f2,38779-3062,38779-3062-1,10 g in 1 JAR (38779-3062-1)
38779-3062_5aa66515-b053-3f92-e053-2a91aa0a97f2,38779-3062,38779-3062-3,5 g in 1 BOTTLE (38779-3062-3)
38779-3062_5aa66515-b053-3f92-e053-2a91aa0a97f2,38779-3062,38779-3062-4,25 g in 1 JAR (38779-3062-4)
38779-3062_5aa66515-b053-3f92-e053-2a91aa0a97f2,38779-3062,38779-3062-5,100 g in 1 JAR (38779-3062-5)
38779-3062_5aa66515-b053-3f92-e053-2a91aa0a97f2,38779-3062,38779-3062-6,1 g in 1 BAG (38779-3062-6)
38779-3063_5a92534c-5781-af98-e053-2991aa0aa8ca,38779-3063,38779-3063-0,.5 g in 1 BOTTLE (38779-3063-0)
38779-3063_5a92534c-5781-af98-e053-2991aa0aa8ca,38779-3063,38779-3063-3,5 g in 1 BOTTLE (38779-3063-3)
38779-3063_5a92534c-5781-af98-e053-2991aa0aa8ca,38779-3063,38779-3063-6,1 g in 1 BOTTLE (38779-3063-6)
38779-3063_5a92534c-5781-af98-e053-2991aa0aa8ca,38779-3063,38779-3063-9,.1 g in 1 BOTTLE (38779-3063-9)
38779-3064_5046a66e-540d-1ca4-e054-00144ff88e88,38779-3064,38779-3064-1,2500 g in 1 PAIL (38779-3064-1)
38779-3064_5046a66e-540d-1ca4-e054-00144ff88e88,38779-3064,38779-3064-3,5 g in 1 VIAL (38779-3064-3)
38779-3064_5046a66e-540d-1ca4-e054-00144ff88e88,38779-3064,38779-3064-4,25 g in 1 JAR (38779-3064-4)
38779-3064_5046a66e-540d-1ca4-e054-00144ff88e88,38779-3064,38779-3064-5,100 g in 1 JAR (38779-3064-5)
38779-3064_5046a66e-540d-1ca4-e054-00144ff88e88,38779-3064,38779-3064-8,500 g in 1 JAR (38779-3064-8)
38779-3064_5046a66e-540d-1ca4-e054-00144ff88e88,38779-3064,38779-3064-9,1000 g in 1 JAR (38779-3064-9)
38779-3065_4b56eb61-5da2-5d74-e054-00144ff8d46c,38779-3065,38779-3065-3,5 g in 1 BOTTLE (38779-3065-3)
38779-3065_4b56eb61-5da2-5d74-e054-00144ff8d46c,38779-3065,38779-3065-4,25 g in 1 JAR (38779-3065-4)
