PRODUCTID,PRODUCTNDC,NDCPACKAGECODE,PACKAGEDESCRIPTION
0002-0485_6d8a935c-fc7b-44c6-92d1-2337b959d1ce,0002-0485,0002-0485-04,4 BOTTLE in 1 CONTAINER (0002-0485-04)  > 2000 g in 1 BOTTLE
0002-0485_6d8a935c-fc7b-44c6-92d1-2337b959d1ce,0002-0485,0002-0485-18,1 BOTTLE in 1 CONTAINER (0002-0485-18)  > 2000 g in 1 BOTTLE
0002-0535_e58e3711-d28b-43fa-bb4d-d808c193853c,0002-0535,0002-0535-04,4 BOTTLE in 1 CONTAINER (0002-0535-04)  > 2000 g in 1 BOTTLE
0002-0535_e58e3711-d28b-43fa-bb4d-d808c193853c,0002-0535,0002-0535-18,1 BOTTLE in 1 CONTAINER (0002-0535-18)  > 2000 g in 1 BOTTLE
0002-1401_70b2e81d-fb7e-48bb-b97d-7f2f26f18c41,0002-1401,0002-1401-71,9 TRAY in 1 BOX (0002-1401-71)  > 160 SYRINGE in 1 TRAY > .5 mL in 1 SYRINGE
0002-1402_70b2e81d-fb7e-48bb-b97d-7f2f26f18c41,0002-1402,0002-1402-71,9 TRAY in 1 BOX (0002-1402-71)  > 160 SYRINGE in 1 TRAY > .5 mL in 1 SYRINGE
0002-9307_08e6684c-6bad-4be4-b3c3-41d880b6b57e,0002-9307,0002-9307-01,1 BOTTLE in 1 CONTAINER (0002-9307-01)  > 2000 g in 1 BOTTLE
0002-9307_08e6684c-6bad-4be4-b3c3-41d880b6b57e,0002-9307,0002-9307-04,4 BOTTLE in 1 CONTAINER (0002-9307-04)  > 2000 g in 1 BOTTLE
0002-9524_58e4b500-11da-473e-8d53-05b9e302671e,0002-9524,0002-9524-01,1 BOTTLE in 1 CONTAINER (0002-9524-01)  > 2000 g in 1 BOTTLE
0002-9524_58e4b500-11da-473e-8d53-05b9e302671e,0002-9524,0002-9524-04,4 BOTTLE in 1 CONTAINER (0002-9524-04)  > 2000 g in 1 BOTTLE
0006-0001_6c70f725-b1d3-4a69-9434-f6983270c823,0006-0001,0006-0001-01,"1 BAG in 1 DRUM (0006-0001-01)  > 480000 TABLET, FILM COATED in 1 BAG"
0006-0002_6c70f725-b1d3-4a69-9434-f6983270c823,0006-0002,0006-0002-01,"1 BAG in 1 DRUM (0006-0002-01)  > 240000 TABLET, FILM COATED in 1 BAG"
0006-0003_6c70f725-b1d3-4a69-9434-f6983270c823,0006-0003,0006-0003-01,"1 BAG in 1 DRUM (0006-0003-01)  > 160000 TABLET, FILM COATED in 1 BAG"
0006-0004_6c70f725-b1d3-4a69-9434-f6983270c823,0006-0004,0006-0004-01,"1 BAG in 1 DRUM (0006-0004-01)  > 120000 TABLET, FILM COATED in 1 BAG"
0006-3335_411e1b03-e0f4-43f0-bdbb-16b791d95744,0006-3335,0006-3335-00,1 kg in 1 DRUM (0006-3335-00)
0006-3340_1ee750c1-4541-4325-b37d-17fa0afe8fbe,0006-3340,0006-3340-00,1 kg in 1 DRUM (0006-3340-00)
0009-0026_5689393e-8937-4bbe-989a-10ee363835f5,0009-0026,0009-0026-01,100 kg in 1 DRUM (0009-0026-01)
0009-0027_36d82d03-2e60-4be4-9087-d59149e3b836,0009-0027,0009-0027-01,100 kg in 1 DRUM (0009-0027-01)
0009-0038_154d8a84-46b5-45ea-a94b-99667586e557,0009-0038,0009-0038-01,100 kg in 1 DRUM (0009-0038-01)
0009-0042_099751a4-3aec-4dd8-85eb-035572b346e3,0009-0042,0009-0042-01,100 kg in 1 DRUM (0009-0042-01)
0009-0043_ffd728ca-dcc7-41cd-8bc0-abc2f1a23ae6,0009-0043,0009-0043-01,100 kg in 1 DRUM (0009-0043-01)
0009-0046_d6f26856-1fb4-4690-ab02-bacaa1719ce6,0009-0046,0009-0046-01,100 kg in 1 DRUM (0009-0046-01)
0009-0052_310112b1-73db-4e34-bc47-e73734c9fd97,0009-0052,0009-0052-01,100 kg in 1 DRUM (0009-0052-01)
0009-0058_1ba55a2a-45d1-48e7-a66c-d3d720c57fca,0009-0058,0009-0058-01,100 kg in 1 DRUM (0009-0058-01)
0009-0060_cacae886-8e11-4ad2-a933-7f46fe7fb950,0009-0060,0009-0060-01,100 kg in 1 DRUM (0009-0060-01)
0009-0062_cdd19a68-3abc-48a3-a19a-10ff5820199b,0009-0062,0009-0062-01,100 kg in 1 DRUM (0009-0062-01)
0009-0063_535769f4-4277-4e89-bb92-508d519bc4cb,0009-0063,0009-0063-02,100 kg in 1 DRUM (0009-0063-02)
0009-0067_ed6b7813-e280-4a46-a360-3a0313cbe8af,0009-0067,0009-0067-01,100 kg in 1 DRUM (0009-0067-01)
0009-0069_f4994c06-20ba-4f00-8252-ba2ad94363dd,0009-0069,0009-0069-01,100 kg in 1 DRUM (0009-0069-01)
0009-0074_0d6b9834-f13d-4f97-bc4e-4e3d26c9d49d,0009-0074,0009-0074-01,100 kg in 1 DRUM (0009-0074-01)
0009-0075_fb1161e0-6f7f-44a9-a15c-c8344c7995d2,0009-0075,0009-0075-01,100 kg in 1 DRUM (0009-0075-01)
0009-0076_6e796b6f-0948-4841-af17-ff629d0a8aff,0009-0076,0009-0076-01,100 kg in 1 DRUM (0009-0076-01)
0009-0077_f36164a5-d6d6-48a8-b0dc-467f35033bad,0009-0077,0009-0077-01,100 kg in 1 DRUM (0009-0077-01)
0009-0087_8ea079c7-d319-445c-b7b4-69dbb4605faf,0009-0087,0009-0087-01,100 kg in 1 DRUM (0009-0087-01)
0009-0106_189a43fa-7d6e-40a8-8402-7807602ac0dc,0009-0106,0009-0106-01,"48 VIAL, GLASS in 1 CONTAINER (0009-0106-01)  > 5 mL in 1 VIAL, GLASS"
0009-0488_48452bdc-3689-47a1-b2b9-0263be59a49a,0009-0488,0009-0488-01,100 kg in 1 DRUM (0009-0488-01)
0009-5010_d480e2da-f59a-4f36-a4ab-7d48ffae3033,0009-5010,0009-5010-01,100 kg in 1 DRUM (0009-5010-01)
0009-5019_455e4250-0f00-4eb0-a4cf-dea3e9b5c29d,0009-5019,0009-5019-01,100 kg in 1 DRUM (0009-5019-01)
0009-5020_b25a1d7e-acfc-4cbf-84f5-e9863f514ae8,0009-5020,0009-5020-02,100 kg in 1 DRUM (0009-5020-02)
0009-5023_0b3c1f08-7f52-4799-afa4-2abe927879d4,0009-5023,0009-5023-06,100 kg in 1 DRUM (0009-5023-06)
0009-5023_594b03eb-bb99-4fb7-9440-e802fe8b844c,0009-5023,0009-5023-05,100 kg in 1 DRUM (0009-5023-05)
0009-5023_c5a466cc-250d-4bf7-a093-f5283c5197a8,0009-5023,0009-5023-01,100 kg in 1 DRUM (0009-5023-01)
0009-5025_52b8ba69-0134-4d66-bc82-891bb574637e,0009-5025,0009-5025-01,100 kg in 1 DRUM (0009-5025-01)
0009-5027_dd280447-64e9-454d-92fb-90ccc4af2660,0009-5027,0009-5027-02,100 kg in 1 DRUM (0009-5027-02)
0009-5030_9c50997e-1f22-4ee7-bc89-e50f47ff7576,0009-5030,0009-5030-02,100 kg in 1 DRUM (0009-5030-02)
0009-5030_d9854a2e-296b-41fd-848e-0765c8f6c5fa,0009-5030,0009-5030-01,100 kg in 1 DRUM (0009-5030-01)
0009-5031_eaa6e0a8-70aa-4535-9ce4-28d7ed2fa692,0009-5031,0009-5031-01,100 kg in 1 DRUM (0009-5031-01)
0009-5033_ed641311-7b23-43e0-a81c-91b9609e6791,0009-5033,0009-5033-01,100 kg in 1 DRUM (0009-5033-01)
0009-5036_f09f742f-4df4-461e-bcd7-0c70fe20a981,0009-5036,0009-5036-01,100 kg in 1 DRUM (0009-5036-01)
0009-5038_3e135443-09d3-4ff5-9dc6-697ae0b39eb6,0009-5038,0009-5038-01,100 kg in 1 DRUM (0009-5038-01)
0009-5038_46fd43df-05f1-4d5a-bb5d-58dbc84e0895,0009-5038,0009-5038-05,100 kg in 1 DRUM (0009-5038-05)
0009-5038_d86ebb6c-113f-491e-9ab6-7e009959ae74,0009-5038,0009-5038-04,100 kg in 1 DRUM (0009-5038-04)
0009-5039_d7d404d6-df5f-45bc-9e85-f6ce9c9b9b24,0009-5039,0009-5039-01,100 kg in 1 DRUM (0009-5039-01)
0009-5055_75235366-d42c-4ab6-b0d1-510bdfbb2c9f,0009-5055,0009-5055-01,100 kg in 1 DRUM (0009-5055-01)
0009-5055_c1f7b4d5-04d9-4571-9ec7-d3793f2e5270,0009-5055,0009-5055-04,100 kg in 1 DRUM (0009-5055-04)
0009-5058_49657071-d6c4-4ecc-8dce-262d6b4534a0,0009-5058,0009-5058-01,100 kg in 1 DRUM (0009-5058-01)
0009-5086_da58daab-e325-4fe7-a309-44cf0e4d2f81,0009-5086,0009-5086-01,100 kg in 1 DRUM (0009-5086-01)
0009-5097_74503ede-df73-4454-8ccb-38e92f6b6891,0009-5097,0009-5097-02,100 kg in 1 DRUM (0009-5097-02)
0009-5107_699278a5-822a-488a-a57e-0f92aaae80e9,0009-5107,0009-5107-01,100 kg in 1 DRUM (0009-5107-01)
0009-5123_bdf3c6d5-668c-490e-be03-5bf3859905ad,0009-5123,0009-5123-01,100 kg in 1 DRUM (0009-5123-01)
0009-5144_5bece8fd-3bc9-40f0-b07b-bb324c31c42b,0009-5144,0009-5144-01,100 kg in 1 DRUM (0009-5144-01)
0009-5157_13ab4318-33d5-4cc2-bae6-9f3d3b72e986,0009-5157,0009-5157-01,100 kg in 1 DRUM (0009-5157-01)
0009-5161_0768e56c-d099-4e8b-b83b-9a92f08d8d79,0009-5161,0009-5161-01,100 kg in 1 DRUM (0009-5161-01)
0009-5164_01324ba3-c824-4cd2-8fa4-e8d516acf486,0009-5164,0009-5164-01,100 kg in 1 DRUM (0009-5164-01)
0009-5168_d90371f2-691a-401a-b4ea-2a64df568432,0009-5168,0009-5168-02,100 kg in 1 DRUM (0009-5168-02)
0009-5172_0fe9e6a1-8e02-44a3-8af1-82e4f53ef274,0009-5172,0009-5172-01,100 kg in 1 DRUM (0009-5172-01)
0009-5188_29d7ea1d-41d6-4ddd-88a9-86f3d56999d2,0009-5188,0009-5188-01,100 kg in 1 DRUM (0009-5188-01)
0009-5230_1a2b3d17-f2d1-4728-8c01-214464694ef5,0009-5230,0009-5230-02,100 kg in 1 DRUM (0009-5230-02)
0009-5238_11f92c23-bcdb-4df8-9233-1d49c5bc7863,0009-5238,0009-5238-03,100 kg in 1 DRUM (0009-5238-03)
0009-5238_6ecb6149-a27a-4c01-84a1-987879a92535,0009-5238,0009-5238-02,100 kg in 1 DRUM (0009-5238-02)
0009-5238_7b9afa2a-a78b-4a8b-abf2-576960e585e5,0009-5238,0009-5238-01,100 kg in 1 DRUM (0009-5238-01)
0009-5275_970d22a8-e4e5-4769-8fa0-5ccaa2dfeebf,0009-5275,0009-5275-01,100 kg in 1 DRUM (0009-5275-01)
0009-5276_dcadf07c-680f-48de-a9e2-0d71c064e171,0009-5276,0009-5276-01,100 kg in 1 DRUM (0009-5276-01)
0009-5610_a5a35be0-5fb1-4738-8db5-86ab38818ada,0009-5610,0009-5610-01,100 kg in 1 DRUM (0009-5610-01)
0009-5620_ed5a9db3-d2b2-4f67-a6ee-ff639bbb9836,0009-5620,0009-5620-01,100 kg in 1 DRUM (0009-5620-01)
0023-1111_ed710728-ffb8-409a-a768-5d63b3528c1e,0023-1111,0023-1111-10,"1 VIAL, GLASS in 1 CYLINDER (0023-1111-10)  > 17.5 mg in 1 VIAL, GLASS"
0031-8719_5e3dda51-7417-4b25-aaa1-06b41f1434ee,0031-8719,0031-8719-00,"125 BLISTER PACK in 1 CASE (0031-8719-00)  > 10 CAPSULE, LIQUID FILLED in 1 BLISTER PACK"
0031-8729_b2690497-2af5-45f5-8f34-6a06bcb0205f,0031-8729,0031-8729-01,75708 mL in 1 CONTAINER (0031-8729-01)
0044-0175_9089ecfc-c09b-46ed-b590-c6c8e87b3d08,0044-0175,0044-0175-99,50 kg in 1 DRUM (0044-0175-99)
0044-3699_c850c911-b933-4a9b-a6ed-af0a010e884e,0044-3699,0044-3699-99,100 kg in 1 DRUM (0044-3699-99)
0069-4260_3e5541b7-b2f1-4bbf-969d-ada708b388ef,0069-4260,0069-4260-99,219897 TABLET in 1 DRUM (0069-4260-99)
0069-4270_3e5541b7-b2f1-4bbf-969d-ada708b388ef,0069-4270,0069-4270-99,116348 TABLET in 1 DRUM (0069-4270-99)
0074-0522_72c8c6a5-68c5-7152-1c8a-4274fda5d248,0074-0522,0074-0522-99,"27200 TABLET, FILM COATED in 1 CARTON (0074-0522-99)"
0074-2552_50cd65ef-ddb1-1206-45ce-94cba10a84f0,0074-2552,0074-2552-99,50 kg in 1 DRUM (0074-2552-99)
0074-2586_b8c5eecd-89c5-eb6f-1169-61f915ab4336,0074-2586,0074-2586-04,"75000 TABLET, FILM COATED in 1 DRUM (0074-2586-04)"
0074-2638_de3c2861-48fc-f313-60b9-eacd94170bd4,0074-2638,0074-2638-99,1600 mL in 1 BOTTLE (0074-2638-99)
0074-3287_9ff819a3-c693-224d-1fce-ca813aecdc2d,0074-3287,0074-3287-99,"32895 TABLET, FILM COATED, EXTENDED RELEASE in 1 CARTON (0074-3287-99)"
0074-3288_9ff819a3-c693-224d-1fce-ca813aecdc2d,0074-3288,0074-3288-99,"26596 TABLET, FILM COATED, EXTENDED RELEASE in 1 CARTON (0074-3288-99)"
0074-3289_9ff819a3-c693-224d-1fce-ca813aecdc2d,0074-3289,0074-3289-99,"26596 TABLET, FILM COATED, EXTENDED RELEASE in 1 CARTON (0074-3289-99)"
0074-3290_9ff819a3-c693-224d-1fce-ca813aecdc2d,0074-3290,0074-3290-99,"23400 TABLET, FILM COATED, EXTENDED RELEASE in 1 CARTON (0074-3290-99)"
0074-3333_65161582-6ef8-ae9a-f25a-86120f6ea065,0074-3333,0074-3333-99,"21600 TABLET, FILM COATED in 1 CARTON (0074-3333-99)"
0074-3650_71127413-9212-49e9-5184-d76193b9668e,0074-3650,0074-3650-01,1000000000 TABLET in 1 CONTAINER (0074-3650-01)
0074-5503_9367cc5c-faf0-c1cb-0551-b1a26ea0423b,0074-5503,0074-5503-03,22 kg in 1 PAIL (0074-5503-03)
0074-5614_4331c281-2873-cca8-2201-3966bf2f14e3,0074-5614,0074-5614-04,50 kg in 1 DRUM (0074-5614-04)
0074-6122_d86294e4-979f-f91c-d4f6-1bb795fc65aa,0074-6122,0074-6122-99,75000 TABLET in 1 DRUM (0074-6122-99)
0074-6123_d86294e4-979f-f91c-d4f6-1bb795fc65aa,0074-6123,0074-6123-99,25000 TABLET in 1 DRUM (0074-6123-99)
0074-6799_72c8c6a5-68c5-7152-1c8a-4274fda5d248,0074-6799,0074-6799-99,"13700 TABLET, FILM COATED in 1 CARTON (0074-6799-99)"
0074-9189_735e3ede-6fb2-50ab-cc1f-c816af16e99d,0074-9189,0074-9189-99,"57000 CAPSULE, DELAYED RELEASE in 1 DRUM (0074-9189-99)"
0074-9642_735e3ede-6fb2-50ab-cc1f-c816af16e99d,0074-9642,0074-9642-99,"155000 CAPSULE, DELAYED RELEASE in 1 DRUM (0074-9642-99)"
0078-0853_666083c6-2062-41ff-8b51-56152501fb8e,0078-0853,0078-0853-99,150 kg in 1 DRUM (0078-0853-99)
0079-1375_d87b0036-9ccf-4b47-9978-bf84154534b3,0079-1375,0079-1375-00,1000 mg in 1 BOTTLE (0079-1375-00)
0079-1375_d87b0036-9ccf-4b47-9978-bf84154534b3,0079-1375,0079-1375-01,100 mg in 1 VIAL (0079-1375-01)
0079-1375_d87b0036-9ccf-4b47-9978-bf84154534b3,0079-1375,0079-1375-05,10 mg in 1 BOTTLE (0079-1375-05)
0079-1650_17f83ded-1c49-478e-9005-5ef1ab6a4f79,0079-1650,0079-1650-00,1000 mg in 1 BOTTLE (0079-1650-00)
0079-1650_17f83ded-1c49-478e-9005-5ef1ab6a4f79,0079-1650,0079-1650-01,100 mg in 1 VIAL (0079-1650-01)
0079-1650_17f83ded-1c49-478e-9005-5ef1ab6a4f79,0079-1650,0079-1650-05,10 mg in 1 BOTTLE (0079-1650-05)
0087-2875_20acbaa1-f362-4394-ac00-d3f98d5969b1,0087-2875,0087-2875-09,"46000 TABLET, FILM COATED in 1 DRUM (0087-2875-09)"
0087-2876_20acbaa1-f362-4394-ac00-d3f98d5969b1,0087-2876,0087-2876-09,"23000 TABLET, FILM COATED in 1 DRUM (0087-2876-09)"
0089-0175_f40f335d-284a-4b7a-ab64-6b9d6f446f42,0089-0175,0089-0175-40,"120 AEROSOL, METERED in 1 CANISTER (0089-0175-40)"
0089-0177_f40f335d-284a-4b7a-ab64-6b9d6f446f42,0089-0177,0089-0177-80,"120 AEROSOL, METERED in 1 CANISTER (0089-0177-80)"
0089-1206_ccbe4ef3-d6bd-4a50-b263-9aeef846a4b1,0089-1206,0089-1206-06,"1 INHALER in 1 CARTON (0089-1206-06)  > 60 AEROSOL, METERED in 1 INHALER"
0089-1210_ae8be07e-9b84-4004-8e34-a6b9f4cd4126,0089-1210,0089-1210-12,"120 AEROSOL, METERED in 1 INHALER (0089-1210-12)"
0089-1210_ae8be07e-9b84-4004-8e34-a6b9f4cd4126,0089-1210,0089-1210-50,"50 AEROSOL, METERED in 1 PACKAGE (0089-1210-50)"
0089-5870_78ed9756-8932-4ffc-aec3-2ae53faac17d,0089-5870,0089-5870-24,450 cm2 in 1 CARTON (0089-5870-24)
0110-0465_0e5c2d4a-1592-4b75-a1d4-aa8c01b669d1,0110-0465,0110-0465-01,40 kg in 1 DRUM (0110-0465-01)
0110-0507_667171ed-67c1-4812-8485-365d9257cc06,0110-0507,0110-0507-01,60 kg in 1 DRUM (0110-0507-01)
0110-3601_3f4bb34d-e813-4ac1-a324-07da40f84793,0110-3601,0110-3601-01,100 kg in 1 DRUM (0110-3601-01)
0110-4483_66a9786d-97f3-46fc-ace4-cdd83ecf3f04,0110-4483,0110-4483-71,110000 TABLET in 1 DRUM (0110-4483-71)
0110-4815_66a9786d-97f3-46fc-ace4-cdd83ecf3f04,0110-4815,0110-4815-71,142000 TABLET in 1 DRUM (0110-4815-71)
0110-5337_66a9786d-97f3-46fc-ace4-cdd83ecf3f04,0110-5337,0110-5337-71,95000 TABLET in 1 DRUM (0110-5337-71)
0110-6216_66a9786d-97f3-46fc-ace4-cdd83ecf3f04,0110-6216,0110-6216-71,71000 TABLET in 1 DRUM (0110-6216-71)
0113-3016_674d810b-82a3-4527-b673-0770adb0d676,0113-3016,0113-3016-00,"1 BAG in 1 BOX (0113-3016-00)  > 1500 TABLET, CHEWABLE in 1 BAG"
0113-4000_9fb59256-89b9-41c7-839d-9eddd57eebb7,0113-4000,0113-4000-00,"1 BAG in 1 DRUM (0113-4000-00)  > 250000 TABLET, FILM COATED in 1 BAG"
0113-4001_e83a52e3-87ef-445c-8428-9cb99678a6df,0113-4001,0113-4001-00,"1 BAG in 1 DRUM (0113-4001-00)  > 250000 TABLET, COATED in 1 BAG"
0113-4002_ff2175a2-4ad0-4f8f-b299-3c81a2b5e7ee,0113-4002,0113-4002-00,1 BAG in 1 DRUM (0113-4002-00)  > 212240 TABLET in 1 BAG
0113-4003_031def35-0f5f-4911-b916-5a6f4e7dd62a,0113-4003,0113-4003-00,"1 BAG in 1 DRUM (0113-4003-00)  > 244640 TABLET, FILM COATED in 1 BAG"
0113-4004_5cc85fc5-d263-479f-b489-7bd1951e2d31,0113-4004,0113-4004-00,"1 BAG in 1 DRUM (0113-4004-00)  > 99280 TABLET, FILM COATED, EXTENDED RELEASE in 1 BAG"
0113-4005_f03867a8-1ca9-40f5-91bd-2d45ac15019a,0113-4005,0113-4005-00,"1 BAG in 1 DRUM (0113-4005-00)  > 434800 TABLET, CHEWABLE in 1 BAG"
0113-4006_5b68ab5a-fd56-460f-9f97-176430695e40,0113-4006,0113-4006-00,"1 BAG in 1 DRUM (0113-4006-00)  > 244640 TABLET, COATED in 1 BAG"
0113-4007_c53b0114-b5a1-4b9c-a297-17faa4b0ddc4,0113-4007,0113-4007-00,"1 BAG in 1 DRUM (0113-4007-00)  > 153840 TABLET, COATED in 1 BAG"
0113-4008_59531014-5c6b-4c99-925f-14e7eda66254,0113-4008,0113-4008-00,"1 BAG in 1 DRUM (0113-4008-00)  > 120160 TABLET, FILM COATED in 1 BAG"
0113-4009_87a78a58-f470-477f-b6d9-676ef7e65a4e,0113-4009,0113-4009-00,"1 BAG in 1 DRUM (0113-4009-00)  > 436700 TABLET, CHEWABLE in 1 BAG"
0113-4010_fd64baff-7c16-4a81-aa70-8aca536f28a2,0113-4010,0113-4010-00,"1 BAG in 1 DRUM (0113-4010-00)  > 99040 TABLET, FILM COATED in 1 BAG"
0113-4011_1ef7d72c-b853-4f6d-bb99-37f5b112399d,0113-4011,0113-4011-00,"1 BAG in 1 DRUM (0113-4011-00)  > 155280 TABLET, COATED in 1 BAG"
0113-4012_1650ebdc-0798-42dc-b00e-4419c0cd9118,0113-4012,0113-4012-00,1 BAG in 1 DRUM (0113-4012-00)  > 265300 TABLET in 1 BAG
0113-4013_a29aded3-5264-48db-8664-ced8d3e93ccc,0113-4013,0113-4013-00,"1 BAG in 1 DRUM (0113-4013-00)  > 98400 TABLET, FILM COATED, EXTENDED RELEASE in 1 BAG"
0113-4014_d1992fb2-7bdf-4c1a-b546-69e7ea2251d6,0113-4014,0113-4014-00,"1 BAG in 1 DRUM (0113-4014-00)  > 157120 TABLET, COATED in 1 BAG"
0113-4015_c70fa2ce-6dd9-4ecf-8f54-50690512a605,0113-4015,0113-4015-00,237 mL in 1 BOTTLE (0113-4015-00)
0113-4015_c70fa2ce-6dd9-4ecf-8f54-50690512a605,0113-4015,0113-4015-01,355 mL in 1 BOTTLE (0113-4015-01)
0113-4015_c70fa2ce-6dd9-4ecf-8f54-50690512a605,0113-4015,0113-4015-02,473 mL in 1 BOTTLE (0113-4015-02)
0113-4016_edc5dc49-ef60-4e38-ac20-4314ec5d753d,0113-4016,0113-4016-00,237 mL in 1 BOTTLE (0113-4016-00)
0113-4016_edc5dc49-ef60-4e38-ac20-4314ec5d753d,0113-4016,0113-4016-01,355 mL in 1 BOTTLE (0113-4016-01)
0113-4017_4cc3b2ff-5d66-443e-9c82-fc46d5d863ee,0113-4017,0113-4017-00,237 mL in 1 BOTTLE (0113-4017-00)
0113-4017_4cc3b2ff-5d66-443e-9c82-fc46d5d863ee,0113-4017,0113-4017-01,355 mL in 1 BOTTLE (0113-4017-01)
0113-4018_c0f5075d-a1fc-43e6-8dbe-e6e50c2f5de7,0113-4018,0113-4018-00,237 mL in 1 BOTTLE (0113-4018-00)
0113-4018_c0f5075d-a1fc-43e6-8dbe-e6e50c2f5de7,0113-4018,0113-4018-01,355 mL in 1 BOTTLE (0113-4018-01)
0113-4019_0192b720-6492-43f9-96ff-4f07854260b6,0113-4019,0113-4019-00,237 mL in 1 BOTTLE (0113-4019-00)
0113-4019_0192b720-6492-43f9-96ff-4f07854260b6,0113-4019,0113-4019-01,355 mL in 1 BOTTLE (0113-4019-01)
0113-4020_b0738051-2d8f-4b91-a99a-6894d2d3d7cb,0113-4020,0113-4020-00,120 mL in 1 BOTTLE (0113-4020-00)
0113-4020_b0738051-2d8f-4b91-a99a-6894d2d3d7cb,0113-4020,0113-4020-01,150 mL in 1 BOTTLE (0113-4020-01)
0113-4020_b0738051-2d8f-4b91-a99a-6894d2d3d7cb,0113-4020,0113-4020-02,240 mL in 1 BOTTLE (0113-4020-02)
0113-4021_8b5178be-2129-4ec5-b00f-0403ec306d81,0113-4021,0113-4021-00,120 mL in 1 BOTTLE (0113-4021-00)
0113-4021_8b5178be-2129-4ec5-b00f-0403ec306d81,0113-4021,0113-4021-01,150 mL in 1 BOTTLE (0113-4021-01)
0113-4021_8b5178be-2129-4ec5-b00f-0403ec306d81,0113-4021,0113-4021-02,240 mL in 1 BOTTLE (0113-4021-02)
0113-4022_73789453-9c02-4b1f-82be-362065f33ec6,0113-4022,0113-4022-00,120 mL in 1 BOTTLE (0113-4022-00)
0113-4022_73789453-9c02-4b1f-82be-362065f33ec6,0113-4022,0113-4022-01,150 mL in 1 BOTTLE (0113-4022-01)
0113-4023_c2885f62-c9bb-49fc-bd26-79fcd830f04a,0113-4023,0113-4023-00,120 mL in 1 BOTTLE (0113-4023-00)
0113-4023_c2885f62-c9bb-49fc-bd26-79fcd830f04a,0113-4023,0113-4023-01,150 mL in 1 BOTTLE (0113-4023-01)
0113-4023_c2885f62-c9bb-49fc-bd26-79fcd830f04a,0113-4023,0113-4023-02,240 mL in 1 BOTTLE (0113-4023-02)
0113-4024_5d8d78af-dd0e-4a4c-9a63-732cd69afe4f,0113-4024,0113-4024-00,355 mL in 1 BOTTLE (0113-4024-00)
0113-4025_d1071791-999c-4cce-a6ad-06edf2b2eed3,0113-4025,0113-4025-00,237 mL in 1 BOTTLE (0113-4025-00)
0113-4025_d1071791-999c-4cce-a6ad-06edf2b2eed3,0113-4025,0113-4025-01,355 mL in 1 BOTTLE (0113-4025-01)
0113-4026_57c96859-021a-495d-ba8e-b4d5fc32ed50,0113-4026,0113-4026-00,237 mL in 1 BOTTLE (0113-4026-00)
0113-4026_57c96859-021a-495d-ba8e-b4d5fc32ed50,0113-4026,0113-4026-01,355 mL in 1 BOTTLE (0113-4026-01)
0113-4027_033dfd15-7231-4335-a557-e873189e393d,0113-4027,0113-4027-00,240 mL in 1 BOTTLE (0113-4027-00)
0113-4028_e45781c4-0230-4db8-b400-d0c3dc35f43f,0113-4028,0113-4028-00,118 mL in 1 BOTTLE (0113-4028-00)
0113-4028_e45781c4-0230-4db8-b400-d0c3dc35f43f,0113-4028,0113-4028-01,237 mL in 1 BOTTLE (0113-4028-01)
0113-4029_3ce65838-3f0f-4f33-b526-aeec8a5cf704,0113-4029,0113-4029-00,237 mL in 1 BOTTLE (0113-4029-00)
0113-4029_3ce65838-3f0f-4f33-b526-aeec8a5cf704,0113-4029,0113-4029-01,355 mL in 1 BOTTLE (0113-4029-01)
0113-4030_872c868a-8857-4a0f-b0d9-5617be0aa75d,0113-4030,0113-4030-00,355 mL in 1 BOTTLE (0113-4030-00)
0113-4031_e3792296-9e24-4568-ae74-ead9c1e846a3,0113-4031,0113-4031-00,245 mL in 1 BOTTLE (0113-4031-00)
0113-5000_af535b98-ba2f-4d0f-baba-91a68620acd6,0113-5000,0113-5000-00,1 BAG in 1 DRUM (0113-5000-00)  > 16000 TABLET in 1 BAG
0113-5001_f48020c2-3e91-4534-a789-a4c095927695,0113-5001,0113-5001-00,1 BAG in 1 DRUM (0113-5001-00)  > 157623 TABLET in 1 BAG
0113-9445_628df5e3-d683-4876-8711-688dfec12ac2,0113-9445,0113-9445-00,"1 POWDER, FOR SOLUTION in 1 POUCH (0113-9445-00)"
0116-0100_3b8b461a-d3c7-3962-e054-00144ff88e88,0116-0100,0116-0100-05,20000 g in 1 JUG (0116-0100-05)
0116-0100_3b8b461a-d3c7-3962-e054-00144ff88e88,0116-0100,0116-0100-55,213000 g in 1 DRUM (0116-0100-55)
0116-0100_3b8b461a-d3c7-3962-e054-00144ff88e88,0116-0100,0116-0100-75,1040000 g in 1 DRUM (0116-0100-75)
0164-0025_5d586e1b-869f-4f3a-88b9-3ec37ff48b9e,0164-0025,0164-0025-00,1 kg in 1 BOTTLE (0164-0025-00)
0164-0030_29ed4e9f-eab5-473f-9f40-dd035adb21ba,0164-0030,0164-0030-00,1 kg in 1 BOTTLE (0164-0030-00)
0164-0046_0809a62a-837e-46b8-aec5-ea37fe8180a8,0164-0046,0164-0046-00,1 kg in 1 CAN (0164-0046-00)
0164-0051_454ea13a-3794-43ca-94ed-d4e62b4fff6b,0164-0051,0164-0051-00,1 kg in 1 BOTTLE (0164-0051-00)
0164-0052_d901a50c-7c08-4a5a-aee1-918c9d11aad8,0164-0052,0164-0052-00,1 kg in 1 BOTTLE (0164-0052-00)
