2016 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,SNP,Sanction Deduction,2016 Part C Summary,2016 Part D Summary,2016 Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0504,Local CCP,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,No,No,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0523,Local CCP,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,Aetna Inc.,No,No,3,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0524,Local CCP,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Yes,No,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0543,Local CCP,UnitedHealthcare,UHC OF CALIFORNIA,"UnitedHealth Group, Inc.",No,No,3.5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0544,Local CCP,CareMore Health Plan,CAREMORE HEALTH PLAN,Anthem Inc.,Yes,No,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0545,Local CCP,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,No,No,3.5,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0562,Local CCP,Health Net of California,"HEALTH NET OF CALIFORNIA,INC.","Health Net, Inc.",Yes,No,3.5,4.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0564,Local CCP,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,Anthem Inc.,Yes,No,3,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0571,Local CCP,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Yes,Yes,3.5,4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0602,1876 Cost,Rocky Mountain Health Plans,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"Rocky Mountain HMO, Inc.",No,No,4,4.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0609,Local CCP,UnitedHealthcare,"PACIFICARE OF COLORADO, INC","UnitedHealth Group, Inc.",No,No,4.5,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0624,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,3.5,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0630,Local CCP,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",Yes,No,4.5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0657,1876 Cost,Colorado Choice Health Plans,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,No,No,2.5,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
